,ZIPCODE,score_lifted
0,11229,0.780119339643258
1,11209,0.6990729265464075
2,11214,0.8673243679438809
3,11224,0.3456149009564776
4,11231,0.362300066973891
5,11210,0.5862963884180032
6,11232,0.2609034868695102
7,11211,0.8081556919826555
8,11233,0.7917672808245341
9,11212,0.7436922288969741
10,11234,0.9078983249841504
11,11213,0.5456555491588279
12,11215,0.8234758521285743
13,11216,0.6896861760381421
14,11217,0.42689926919828997
15,11218,0.6343259934287476
16,11236,0.9894978336957465
17,11237,0.5680160503399219
18,11219,0.45403414879458565
19,11238,0.6721579288610701
20,11239,0.08
21,11201,0.6458480034350528
22,11220,0.8585898463188576
23,11203,0.9278851294584105
24,11204,0.6587161724123102
25,11221,0.8492210848429108
26,11205,0.39521326534073153
27,11206,0.7595936540358804
28,11222,0.5098129889512623
29,11207,0.8968794024744389
30,11208,0.8764648746414824
31,11223,0.6206646146819551
32,11225,0.7297007548053795
33,11235,0.7092385373320336
34,11226,1.0
35,11228,0.47437298485112384
36,11230,0.5961552008783988
