ZIPCODE,min_dist_mta,avg_dist_mta,count_mta_0.5km,count_mta_1km,count_mta_5km,station_count
11229,0.9684587262922857,6.800448863647472,0,1,38,3.0
11209,0.17753701417620063,6.477971449395367,1,3,32,3.0
11214,0.3299239803476728,6.2612897662537605,1,3,47,6.0
11224,0.6638416192761718,5.814648129830694,0,1,27,3.0
11231,0.8643491280031247,5.690232818357612,0,2,58,1.0
11210,0.5429044956180068,5.668571468585435,0,1,59,2.0
11232,0.21012014692841308,5.720355111698275,1,3,74,2.0
11211,0.16865023133912144,5.868491075186432,3,7,66,6.0
11233,0.09244703627270212,6.0771699584791685,1,5,87,5.0
11212,0.31850844585693683,6.415929926510924,2,4,71,7.0
11234,3.8859068624994157,6.660251557690759,0,0,11,0.0
11213,0.3779458773903824,6.9177366040513455,1,2,103,2.0
11215,0.5983943894252244,7.377606348790848,0,6,83,7.0
11216,0.1110076421708884,7.646971037140597,1,5,104,2.0
11217,0.147380558817535,8.059453191397054,4,11,81,8.0
11218,0.2912979698180727,8.485690823568552,1,3,79,3.0
11236,0.8000624270841243,5.805592890556631,0,1,36,2.0
11237,0.22831346141121645,5.4095673692967665,2,6,69,5.0
11219,0.17107025858685887,4.952592457483881,2,6,61,7.0
11238,0.19322663414880242,4.937663141065724,1,6,93,7.0
11239,2.360026338782582,4.975683367922903,0,0,29,0.0
11201,0.1602557973328077,5.082425535679113,6,12,64,12.0
11220,0.1073689617344423,5.150378182834695,1,4,46,5.0
11203,1.2941548799170937,5.319278986917216,0,0,70,0.0
11204,0.1563560971403786,5.532358002163593,1,5,63,4.0
11221,0.23551328332321422,5.716447309177409,2,4,90,4.0
11205,0.9500545547880012,6.112973187089589,0,1,78,2.0
11206,0.21556970347769147,6.684834599455067,2,8,80,9.0
11222,0.5373947910554613,7.371441839789934,0,2,30,2.0
11207,0.4082026969661632,7.6993292246113825,1,10,51,12.0
11208,0.06690855188727608,8.423218426167974,1,5,38,7.0
11223,0.1146662571352146,9.277482992851787,2,6,42,6.0
11225,0.2579271986471912,9.426132213015256,1,7,101,7.0
11235,0.9574977596141467,9.504685476522726,0,1,24,3.0
11226,0.6660840763819229,9.447221028228581,0,6,81,7.0
11228,1.1400732457378984,5.729574093915138,0,0,46,1.0
11230,0.4947025839135748,5.8101991340528825,1,5,58,7.0
